track_id,track_name,artists,album_name,track_genre,popularity,duration_ms,explicit,danceability,energy,acousticness,valence,tempo,loudness,speechiness,instrumentalness,liveness,key,mode
210JCw2LbYD4YIs8GiZ9iP,Demons,Boyce Avenue;Jennel Garcia,Cover Sessions; Vol. 3,acoustic,63,174174,False,0.678,0.351,0.747,0.569,90.032,-8.654,0.0266,0.0,0.355,0,1
5TvE3pk05pyFIGdSY9j4DJ,Say Something,A Great Big World;Christina Aguilera,Is There Anybody Out There - Track by Track Commentary,acoustic,70,229400,False,0.407,0.147,0.857,0.0765,141.284,-8.822,0.0355,2.89e-06,0.0913,2,1
6D33wCKzWtNEgOovgeVJ7r,Bella Luna,Jason Mraz,Mellow Adult Pop,acoustic,1,302346,False,0.755,0.454,0.757,0.33,120.06,-9.609,0.0352,0.0,0.236,9,0
72xTsTouZ5nBmASX8k1XCW,Trampoline - Acoustic,Highland Peak,Trampoline (Acoustic),acoustic,46,213098,False,0.596,0.2,0.91,0.308,107.893,-10.424,0.0305,0.000183,0.0884,0,0
3ILmwMefYZoQh5Cf5jeuUQ,透明だった世界,Motohiro Hata,Documentary,acoustic,61,232360,False,0.373,0.914,0.076,0.56,168.21,-4.185,0.0565,0.0,0.669,0,1
2DHDuADAHoUW6n0z80RLQF,Pieces,Andrew Belle,Black Bear,acoustic,60,241119,False,0.494,0.652,0.0754,0.298,137.018,-5.863,0.0314,0.00256,0.125,6,0
5JDcQAztvZTIkrWoZihgvC,A Drop in the Ocean,Ron Pope,The Bedroom Demos,acoustic,68,220239,False,0.447,0.393,0.785,0.564,73.139,-8.65,0.038,0.0,0.28,5,1
2sYFi9xVSZ56WHKSY2fN1K,So Far Away - Acoustic,Adam Christopher,So Far Away (Acoustic),acoustic,52,171543,False,0.576,0.331,0.894,0.407,149.02,-9.389,0.0306,3.44e-05,0.129,6,0
6xJOhSm4SvZwzy3uhWz26O,The Enemy,Andrew Belle,Black Bear,acoustic,62,286865,False,0.536,0.89,0.078,0.273,121.974,-5.222,0.0375,0.0202,0.131,1,1
7lLKxcNeJtDTWVRKHovLEC,Build It Better,Aron Wright,Build It Better,acoustic,51,234473,False,0.526,0.333,0.91,0.159,94.951,-13.02,0.0314,0.168,0.111,4,1
4oa14QBfWRDfJy2agySy0L,Gravity,Sara Bareilles,Little Voice,acoustic,67,232760,False,0.27,0.275,0.834,0.231,168.964,-10.357,0.0356,0.0,0.146,0,1
2gRKq9rIC5i1zuxp06zJWH,Whats Left of You,Chord Overstreet,Whats Left of You,acoustic,57,178600,True,0.731,0.507,0.572,0.265,117.969,-6.477,0.046,0.0,0.0912,0,1
08MFgEQeVLF37EyZ7jcwLc,Pano,Zack Tabudlo,Pano,acoustic,75,254400,False,0.375,0.457,0.868,0.415,174.839,-7.018,0.0315,0.0145,0.191,3,1
6nXIYClvJAfi6ujLiKqEq8,Skys Still Blue,Andrew Belle,The Daylight EP,acoustic,62,244320,False,0.43,0.791,0.0726,0.217,171.864,-5.419,0.0302,0.0193,0.11,6,0
7x4b0UccXSKBWxWmjcrG2T,And I Love Her,Kurt Cobain,Montage Of Heck The Home Recordings,acoustic,66,124933,False,0.616,0.282,0.983,0.435,96.638,-15.317,0.0331,0.833,0.13,1,1
6owKuyHxUqidcAA6fPKSyy,We Cant Stop,Boyce Avenue;Bea Miller,Cover Sessions; Vol. 3,acoustic,64,222146,False,0.705,0.347,0.674,0.36,80.057,-8.249,0.0301,0.0,0.12,2,1
0wbmIfvndFV9VDvuUY1pYN,Always Be My Baby,Tim Halperin,Covers,acoustic,62,181852,False,0.582,0.255,0.772,0.285,139.884,-10.254,0.0306,0.0,0.0889,4,1
3e5yu9MkIvQx17mm7LF6KY,Alone with You,Canyon City,Midnight Waves,acoustic,58,186584,False,0.549,0.274,0.798,0.207,86.664,-12.565,0.0379,6.63e-06,0.103,1,1
6VwAh8Z1d5YKoSWoEaV4db,Making All Things New,Aaron Espe,Making All Things New,acoustic,65,159600,False,0.787,0.355,0.896,0.48,99.978,-11.429,0.0288,0.0201,0.111,0,1
2D4BSm5Z8Hq5zYbSgJwEOh,She Used To Be Mine,Sara Bareilles,Whats Inside Songs from Waitress,acoustic,67,250266,False,0.397,0.303,0.381,0.172,81.05,-7.508,0.0435,0.0,0.101,5,1
7LwGBxB0h0CVmkOZxYKn0g,In My Veins - Feat. Erin Mccarley,Andrew Belle,In My Veins (Feat. Erin Mccarley),acoustic,65,318908,False,0.548,0.42,0.198,0.196,128.012,-7.842,0.0277,4.46e-06,0.0899,0,1
0ZwdH0m32I8odedwvspYTh,I Dont Wanna Live Forever (Fifty Shades Darker),Tyler Ward,Under Covers,acoustic,44,222351,False,0.787,0.403,0.603,0.264,118.042,-11.989,0.033,0.00857,0.131,0,1
16dkWKIlBsfYTISCVuDs0w,A Drop In the Ocean,Ron Pope,Whatever It Takes,acoustic,55,219480,False,0.484,0.573,0.0882,0.346,139.966,-6.183,0.0298,1.14e-06,0.15,5,1
3TwtrR1yNLY1PMPsrGQpOp,Superman (Its Not Easy),Five For Fighting,America Town,acoustic,70,221693,False,0.382,0.416,0.0733,0.125,102.089,-9.303,0.0302,0.0,0.0719,0,1
3Et4LKZLnXygPYfNdeB3D3,When the End Comes,Andrew Belle,Dive Deep,acoustic,57,354400,False,0.541,0.575,0.677,0.428,91.98,-9.463,0.0491,0.215,0.102,9,1
2E9viCx0hJKNKNThd2MdGQ,Youre Still The One,Bailey Jehl,Youre Still The One,acoustic,56,177500,False,0.607,0.473,0.712,0.54,119.698,-8.555,0.034,0.0,0.66,2,1
0Zf1BPkkFAWGtVHeBwHHz4,Light Me Up,Ingrid Michaelson,It Doesnt Have To Make Sense,acoustic,56,247840,False,0.417,0.595,0.158,0.117,147.928,-7.84,0.0396,0.000269,0.101,6,1
38jy6kRlPt8z1GUS9WXeNh,93 Million Miles,Jason Mraz,Love Is a Four Letter Word,acoustic,67,216386,False,0.572,0.454,0.477,0.515,140.182,-10.286,0.0258,1.37e-05,0.0974,3,1
2SkJKMfjpYsNv0KWOxiegX,Kaleidoscope,A Great Big World,When the Morning Comes,acoustic,62,229320,False,0.709,0.913,0.0182,0.519,108.024,-5.148,0.0748,0.0,0.167,7,1
4qCbMMMuEB56kHd4zPE6GD,The Long Road,Eddie Vedder;Nusrat Fateh Ali Khan,Eat; Pray; Love,acoustic,45,330933,False,0.537,0.342,0.645,0.253,109.236,-13.553,0.0273,0.266,0.0687,2,1
11TK5KLtLZUdKr1C549bAw,What Would I Do Without You,Drew Holcomb  The Neighbors,Good Light,acoustic,64,172213,False,0.602,0.336,0.883,0.335,90.894,-11.106,0.0369,0.0017,0.143,8,1
7BXW1QCg56yzEBV8pW8pah,Have It All,Jason Mraz,Know.,acoustic,65,226106,False,0.643,0.638,0.204,0.6,82.001,-4.947,0.0407,0.0,0.0707,1,0
3bHhUEOTIbezeZ856R0BX5,Society,Eddie Vedder,Into The Wild (Music For The Motion Picture),acoustic,68,236306,False,0.561,0.327,0.902,0.298,161.858,-10.835,0.0327,0.000469,0.111,11,0
4LGF2tDg3878bs0mQPByZ4,Guaranteed,Eddie Vedder,Into The Wild (Music For The Motion Picture),acoustic,61,164500,False,0.436,0.4,0.904,0.351,100.734,-11.485,0.0272,0.00105,0.125,7,1
6Uy6K3KdmUdAfelUp0SeXn,Brave,Sara Bareilles,The Blessed Unrest,acoustic,70,220573,False,0.551,0.836,0.00502,0.758,185.063,-3.838,0.0524,2.1e-05,0.0425,10,0
0qJGlogD7AyMLAJfQ42aI2,Heaven Knows,Five For Fighting,Bookmarks,acoustic,62,210612,False,0.6,0.845,0.048,0.392,97.631,-7.076,0.0311,0.0,0.24,10,1
0U32q8CZRRo7xCzyiaZw5f,Rain,Motohiro Hata,言ノ葉,acoustic,58,293040,False,0.626,0.655,0.503,0.542,92.003,-6.69,0.0263,0.0,0.13,9,1
4kQXMVjoZ9yMibLZq5Aqi5,Somebody Else - Acoustic,Callum J Wright,Somebody Else (Acoustic),acoustic,50,138495,False,0.794,0.38,0.762,0.617,114.99,-8.769,0.0477,0.0,0.262,10,0
3us8sod4dLbM9FiMiPiEY8,Pieces (Hushed),Andrew Belle,Black Bear (Hushed),acoustic,59,198626,False,0.52,0.279,0.894,0.0951,69.642,-10.739,0.0547,0.000105,0.103,5,0
1PR5pyPiOEEQ02oJYq402x,Mirrors,Boyce Avenue;Fifth Harmony,Cover Sessions; Vol. 3,acoustic,57,292566,False,0.545,0.658,0.496,0.683,76.971,-7.174,0.0474,0.0,0.105,1,1
068qo0w1Ki0cjnFYOUhAm2,Stand by Me,Boyce Avenue,Stand by Me,acoustic,60,199019,False,0.728,0.266,0.872,0.307,115.189,-7.322,0.0293,1.03e-05,0.114,8,1
2RFt6ZWQbr9mPhsft9u9eX,Losing Me,Gabrielle Aplin;JP Cooper,Dear Happy,acoustic,61,181760,False,0.66,0.407,0.236,0.257,133.86,-8.381,0.0571,0.0,0.109,7,1
59pUIlXjQupbiYwt40uUTi,なんでもないや - movie ver.,Mone Kamishiraishi,chouchou,acoustic,49,349920,False,0.357,0.161,0.971,0.325,83.449,-10.667,0.0388,1.4e-05,0.358,8,1
0VhZ5JYfqPojSYeGWnk4dL,Youre Beautiful - Acoustic,John Adams,Youre Beautiful (Acoustic),acoustic,55,204973,False,0.479,0.154,0.915,0.36,147.207,-11.282,0.0352,0.0,0.0974,2,1
0ltIx8PLjtWoS9zn9PqsZW,Hikare Inochi,Kitri,Hikare Inochi,acoustic,51,322146,False,0.592,0.769,0.319,0.385,102.033,-5.268,0.0311,4.66e-06,0.137,2,1
7ACW42whcdOiUxiNVu7ltx,How To Lose a Girl,Tyler Ward,Songs From Nashville,acoustic,46,210375,False,0.7,0.454,0.55,0.34,80.011,-10.39,0.0388,0.0022,0.121,7,0
4qTHoIp62ngNDpUJwW3hZ7,Cant Help Falling in Love,Boyce Avenue,Cover Sessions; Vol. 6,acoustic,57,131000,False,0.402,0.197,0.858,0.148,100.044,-10.775,0.0295,1.05e-06,0.114,5,1
4VbDTk82rqWqVgoQC93CkC,Dive Deep (Hushed),Andrew Belle,Dive Deep (Hushed),acoustic,58,218531,False,0.507,0.378,0.852,0.085,135.86,-9.019,0.0332,0.000212,0.0937,9,1
1pG5nd6gmfbMwUfT5shDQe,When the Partys over (Acoustic Piano),Ben Woodward,When the Partys over (Acoustic Piano),acoustic,51,195945,False,0.619,0.226,0.959,0.188,124.96,-13.453,0.0641,4.42e-05,0.106,4,1
2WZyfujzMweFLnozyUJBkW,Boston,Augustana,All The Stars and Boulevards,acoustic,63,245933,False,0.404,0.571,0.182,0.29,147.01,-5.069,0.0303,2.08e-05,0.129,0,1
6gijbGNDNNJgT60Aj7UCyc,Living in the Shadows,Matthew Perryman Jones,Living in the Shadows,acoustic,53,212386,False,0.418,0.79,0.0284,0.197,175.975,-6.599,0.0506,9.96e-06,0.117,4,0
5pq4v03P5PxMcnCagg4S3Z,In Case You Didnt Know,Boyce Avenue,Cover Sessions; Vol. 4,acoustic,60,225165,False,0.633,0.299,0.833,0.341,147.549,-7.798,0.0353,0.0,0.109,11,1
08OjvLnGR3M0HUhcePeMNO,death bed (coffee for your head),Andrew Foy;Renee Foy,death bed (coffee for your head),acoustic,47,112008,False,0.565,0.0392,0.835,0.601,125.399,-28.276,0.045,0.183,0.117,1,1
65VhbQdqvozUntjnlFkFbZ,You Are My Sunshine,Kina Grannis,You Are My Sunshine,acoustic,60,123609,False,0.664,0.0755,0.91,0.575,80.004,-19.836,0.0389,0.0,0.164,10,1
05pKAafT85jeeNhZ6kq7HT,I Wont Give Up,Jason Mraz,I Wont Give Up,acoustic,66,240165,False,0.585,0.303,0.694,0.142,136.703,-10.058,0.0398,0.0,0.115,4,1
3PG6V5yuFfo4APiovOQoRv,I Was Born To Love You,Ray LaMontagne;Sierra Ferrell,I Was Born To Love You,acoustic,67,265843,False,0.65,0.271,0.794,0.21,78.036,-11.081,0.0314,6.9e-05,0.196,9,1
5O9R57EozcpLKGQBzadPVy,Only Love Can Hurt Like This,Meg Birch,Life Sucks Playlist,acoustic,43,194194,False,0.534,0.213,0.884,0.0998,98.385,-8.64,0.0283,0.0,0.107,1,1
6ta5yavnnEfCE4faU0jebM,Mr Blue,Catherine Feeny,Hurricane Glass,acoustic,54,154600,False,0.456,0.386,0.835,0.612,165.733,-10.293,0.032,0.108,0.389,10,1
7BRCa8MPiyuvr2VU3O9W0F,Do Not Let Me Go,Joshua Hyslop,Where The Mountain Meets The Valley,acoustic,60,158960,False,0.409,0.234,0.338,0.145,139.832,-13.711,0.0323,5e-05,0.0895,3,1
5ZhaKUsY68U0lgREFWfoxg,Holding On And Letting Go,Ross Copperman,Holding On And Letting Go - Single,acoustic,49,319000,False,0.502,0.53,0.805,0.102,78.046,-9.573,0.0266,0.000738,0.0728,2,1
4zcMBfbQZvBSHQBGDd6gsN,You Already Know,JJ Heller,You Already Know,acoustic,57,214360,False,0.496,0.117,0.933,0.318,78.068,-12.884,0.0301,0.0,0.126,0,1
7bhHLZxkRekrNPPkEdDTbn,Believer (Remix),Ben Woodward,Believer (Remix),acoustic,42,204480,False,0.585,0.724,0.315,0.333,187.484,-6.513,0.0745,0.0681,0.0448,1,0
5rwq6R0Uq0BngM3rdmCeNg,Collide - Acoustic Version,Howie Day,Stop All the World Now (Special Edition),acoustic,67,277000,False,0.582,0.253,0.827,0.294,90.186,-11.43,0.0259,2.95e-05,0.091,10,1
2lxBZVbkiCXC1soks2RXwV,Love Like This,Ben Rector,Magic,acoustic,61,214240,False,0.637,0.14,0.903,0.392,139.78,-11.472,0.0407,0.0,0.107,2,1
38YgZVHPWOWsKrsCXz6JyP,Come On Get Higher,Matt Nathanson,Some Mad Hope,acoustic,71,215173,False,0.672,0.623,0.241,0.617,92.018,-5.699,0.0297,0.0,0.0848,9,1
6XrNrp7UtGgyZcHJ0ckL0w,Something In the Rain (Something In the Rain; Pt. 1) [Music from the Original TV Series],Rachael Yamagata,Something In the Rain (Music from the Original TV Series),acoustic,49,296862,False,0.422,0.272,0.496,0.113,143.413,-10.772,0.0353,1.07e-05,0.0704,4,0
72R0X0h8YaxYNpegeoOl0M,Kiss Me Slowly,Parachute,The Way It Was,acoustic,61,235813,False,0.47,0.801,0.0758,0.431,173.92,-6.426,0.0352,3.53e-05,0.218,9,1
6R6ux6KaKrhAg2EIB2krdU,Without You,Parachute,Wide Awake,acoustic,61,228933,False,0.564,0.864,0.0761,0.534,95.984,-5.121,0.0341,0.0,0.182,4,1
2D9w6sabdMCLSheW5aegwO,Absolutely Zero,Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),acoustic,20,339196,False,0.521,0.495,0.128,0.116,135.061,-7.756,0.027,0.0,0.296,5,1
1Qo3taHLFSQpzLm5Sty7M4,Sleep All Day,Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),acoustic,22,296843,False,0.616,0.81,0.369,0.79,97.994,-6.51,0.0668,0.0,0.107,2,1
71M4QMn8nrok1KFVXwEEyU,You and I Both,Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),acoustic,35,218240,False,0.615,0.812,0.184,0.74,98.954,-6.573,0.0458,0.0,0.328,7,1
4lxGVzcUaSF5HW5jtWnShV,Long Nights,Eddie Vedder,Into The Wild (Music For The Motion Picture),acoustic,60,151773,False,0.478,0.305,0.675,0.0974,108.66,-13.062,0.0306,0.00139,0.169,5,1
2PIlBukQ6limukVR8Ubb5o,Please Dont Say You Love Me,Gabrielle Aplin,English Rain,acoustic,59,181400,False,0.479,0.541,0.737,0.321,85.994,-9.862,0.0545,0.0,0.108,0,1
5p9XWUdvbUzmPCukOmwoU3,Suddenly I See,KT Tunstall,Eye To The Telescope,acoustic,73,201706,False,0.587,0.767,0.225,0.664,100.38,-5.713,0.0449,0.0,0.112,0,1
1uSuY2qLCbx1QB7oPUVhFG,Who Needs Shelter,Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),acoustic,22,192260,False,0.514,0.569,0.601,0.264,142.597,-7.866,0.03,2.21e-06,0.218,6,0
6twvFrIoIINH8UW8EB8OnU,No Stopping Us,Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),acoustic,19,198855,False,0.646,0.836,0.301,0.727,105.991,-6.203,0.0327,3.23e-05,0.29,1,1
2pelUnMKr07JjJpilj9Yew,Ill Do Anything,Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),acoustic,24,191889,False,0.57,0.711,0.119,0.648,163.117,-4.155,0.0703,0.0,0.352,9,1
7d0bJhpp0mCYyMXaMgWyMS,Make You Feel My Love,JJ Heller,I Dream of You CALM,acoustic,57,171293,False,0.678,0.199,0.957,0.262,72.006,-9.785,0.0307,3.23e-06,0.0968,9,1
73CbJykoV6WapWGfTeRzTl,The Remedy (I Wont Worry),Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),acoustic,35,256440,False,0.589,0.867,0.041,0.795,94.52,-4.523,0.0385,0.0,0.306,10,1
3ixLIO5BsTmic0Pp27FaPY,Too Much Food,Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),acoustic,20,221425,False,0.626,0.926,0.0265,0.548,99.997,-4.441,0.0477,0.0,0.159,2,1
5ZetMq21bMQN5oo4TtdOxu,The Boys Gone,Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),acoustic,18,255047,False,0.686,0.556,0.532,0.36,112.997,-8.5,0.0271,0.0,0.0922,1,0
73oHkllHIT8fdbzpxiXW40,On Love; in Sadness,Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),acoustic,19,208793,False,0.56,0.832,0.108,0.802,100.957,-5.595,0.0352,0.0,0.232,9,1
4MihgVRpD82EZoT61GW63w,Curbside Prophet,Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),acoustic,23,214552,False,0.619,0.793,0.263,0.892,177.991,-5.964,0.0661,0.0,0.0828,5,1
1BECZPXBXzobsfmlzj0g3I,Tonight; Not Again - Live,Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),acoustic,19,264280,False,0.56,0.278,0.733,0.594,102.187,-12.501,0.0921,0.0,0.112,3,1
14vExHBkh1prEAN94wZug8,Tonight; Not Again,Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),acoustic,18,289041,False,0.595,0.805,0.0167,0.359,102.44,-7.926,0.0543,1.06e-05,0.0691,8,1
0fzCtVM9D5UEwiLqcY8Ouq,Hard Sun,Eddie Vedder,Into The Wild (Music For The Motion Picture),acoustic,65,322080,False,0.438,0.827,0.0512,0.645,143.377,-6.531,0.0328,0.000402,0.319,8,1
6IF2P93LkyW4GqDQu1yS7H,Here with Me,Susie Suh;Robot Koch,Here with Me,acoustic,55,238971,False,0.582,0.375,0.702,0.106,129.909,-13.277,0.0329,0.0631,0.136,1,0
34dnNAUoIPcwnK0RtVMBWZ,The Scientist,Tyler Ward;Lindsey Stirling;Kina Grannis,Tyler Ward Covers; Vol. 5,acoustic,47,276575,False,0.453,0.295,0.518,0.14,146.022,-12.881,0.0291,0.00011,0.293,7,1
5aDpULK8MbJmHl42kR5KNI,Collide,Howie Day,Stop All The World Now,acoustic,56,249120,False,0.636,0.625,0.222,0.342,93.931,-7.895,0.0277,5.35e-05,0.119,11,1
1fI1TMpz7FVkpoYBhmiywp,get better,Eden Elf;Ren Avel,get better,acoustic,53,111734,False,0.639,0.201,0.907,0.4,88.107,-16.613,0.0526,2.26e-05,0.124,7,0
23Mcmg5O8rBKAOzxvrTjnD,Sympathy,Kitri,Hikare Inochi,acoustic,49,210760,False,0.69,0.423,0.883,0.59,130.121,-9.194,0.0294,0.0123,0.111,2,0
0gVbkmFqq5fIkXtJJ3UTfM,Let It Go,Boyce Avenue;Rachel Grae,Let It Go,acoustic,51,255688,False,0.599,0.349,0.819,0.444,147.913,-9.269,0.0301,0.0,0.112,1,1
00DuOxungwHwVUX2m37P0P,What You Need,Chord Overstreet,What You Need,acoustic,53,181786,False,0.519,0.264,0.918,0.192,140.354,-11.171,0.0601,0.000253,0.237,0,1
2lFlveK1y13WWp3vnQtrr3,100 Years,Five For Fighting,The Battle for Everything,acoustic,66,244600,False,0.643,0.569,0.544,0.275,120.507,-7.459,0.0276,2.17e-05,0.178,7,1
2WD93lsfJonaKtrQtpLB2R,Youre the Sea,Andrew Belle,Nightshade,acoustic,56,174546,False,0.573,0.624,0.471,0.529,161.025,-9.076,0.0324,0.117,0.114,1,0
7njTGO45SkaBTNu35t2Yq0,No Direction,Rachael Yamagata,One Spring Night (Original Television Soundtrack); Pt. 1,acoustic,47,234330,False,0.654,0.821,0.00666,0.613,111.958,-5.472,0.0264,0.00299,0.228,7,1
6ivkBaxvclVhwZDE2uwldj,Belong,Cary Brothers,Under Control,acoustic,51,255600,False,0.426,0.399,0.761,0.217,115.979,-8.447,0.034,0.00112,0.118,0,1
6Cvti10W0AzmzG9D1tpuKp,As It Was,The Mayries,As It Was,acoustic,55,176542,False,0.505,0.21,0.907,0.323,80.721,-11.349,0.0295,0.0,0.11,11,1
03yc0G2OoH1Eeyu7Piy8fK,Im Yours,Jason Mraz,Im Yours,acoustic,60,243494,False,0.693,0.43,0.565,0.731,151.001,-9.395,0.0442,0.0,0.0928,11,1
5RO0MNa5hBKIM4OcjygadU,Chi Mai,Joseph Sullinger,Chi Mai,acoustic,40,188695,False,0.739,0.287,0.969,0.557,80.64,-14.007,0.059,0.961,0.111,6,0
78TKtlSLWK8pZAKKW3MyQL,Say Something,A Great Big World;Christina Aguilera,Say Something,acoustic,58,229400,False,0.453,0.146,0.867,0.0915,137.905,-8.976,0.0343,3.49e-06,0.0945,2,1
1esE8j1nVyzEQ5rVhYXoJT,Had It All,Parachute,Parachute,acoustic,55,216853,False,0.606,0.54,0.182,0.249,79.952,-6.271,0.0339,0.000144,0.144,7,0
68Yc9ylRZZPtsuVgtrxcDj,Take Me Back ft. Yonnyboii,Zack Tabudlo;Yonnyboii,Take Me Back,acoustic,50,149000,False,0.595,0.646,0.11,0.563,120.049,-5.495,0.0327,0.0,0.258,0,1
3tjjCCdXSdaVEo4q4y071G,Whole Again - Acoustic Version,Tobey Rosen,Whole Again (Acoustic Version),acoustic,52,157231,False,0.736,0.145,0.855,0.235,129.832,-9.215,0.0336,0.0,0.108,11,1
3tob5ofeuvFKKSbOTldenC,Overpass Graffiti,The Mayries,Overpass Graffiti,acoustic,54,226603,False,0.479,0.126,0.966,0.279,96.327,-13.974,0.0303,0.0,0.113,1,1
4E6cwWJWZw2zWf7VFbH7wf,Love Song,Sara Bareilles,Little Voice,acoustic,73,258826,False,0.583,0.786,0.0208,0.573,123.055,-3.142,0.0301,0.0,0.188,2,0
3uAdZpIbMTtVXitHVibLMV,Let Her Go,Andrew Foy;Renee Foy,Let Her Go,acoustic,38,194013,False,0.549,0.291,0.858,0.376,75.153,-13.457,0.0388,0.000846,0.129,2,1
2LC523tbEPFpc1pnikbt5b,Brighter Than Sunshine,Aqualung,Still Life,acoustic,53,242439,False,0.418,0.489,0.287,0.398,72.891,-8.373,0.0323,0.0288,0.42,6,0
